gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4536891520	5ea28eaa-7e0c-417c-b525-9c737d18823f	20230919_IAS07MARTIN_113108_34	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	48.638214	-1.191269	10.0		36.5	0.5			2023-09-19	19	9	2023	7595433	7595433	HUMAN_OBSERVATION							CC_BY_4_0				native	2024-04-29T09:17:08.953Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4536891519	5ea28eaa-7e0c-417c-b525-9c737d18823f	20230918_IAS04_124227_22	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	48.643314	-1.23315	10.0		23.5	0.5			2023-09-18	18	9	2023	7595433	7595433	HUMAN_OBSERVATION							CC_BY_4_0				native	2024-04-29T09:17:09.346Z		CONTINENT_DERIVED_FROM_COORDINATES
4536891518	5ea28eaa-7e0c-417c-b525-9c737d18823f	20230919_IAS08_141121_42	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	48.637566	-1.179563	10.0		40.0	1.0			2023-09-19	19	9	2023	7595433	7595433	HUMAN_OBSERVATION							CC_BY_4_0				native	2024-04-29T09:17:10.111Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4536891517	5ea28eaa-7e0c-417c-b525-9c737d18823f	20230918_IAS03_111301_11	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	48.644413	-1.246804	10.0		20.0	1.0			2023-09-18	18	9	2023	7595433	7595433	HUMAN_OBSERVATION							CC_BY_4_0				native	2024-04-29T09:17:09.798Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4536891516	5ea28eaa-7e0c-417c-b525-9c737d18823f	20230919_IAS07MARTIN_112242_21	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	48.638214	-1.191269	10.0		36.5	0.5			2023-09-19	19	9	2023	7595433	7595433	HUMAN_OBSERVATION							CC_BY_4_0				native	2024-04-29T09:17:08.544Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4536891515	5ea28eaa-7e0c-417c-b525-9c737d18823f	20230919_IAS08MARTIN_144551_67	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	48.637566	-1.179563	10.0		40.0	1.0			2023-09-19	19	9	2023	7595433	7595433	HUMAN_OBSERVATION							CC_BY_4_0				native	2024-04-29T09:17:10.394Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4536891514	5ea28eaa-7e0c-417c-b525-9c737d18823f	20230919_IAS09_162024_37	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	48.6395	-1.161365	10.0		51.5	1.5			2023-09-19	19	9	2023	7595433	7595433	HUMAN_OBSERVATION							CC_BY_4_0				native	2024-04-29T09:17:09.294Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4536891513	5ea28eaa-7e0c-417c-b525-9c737d18823f	20230918_IAS04_123624_15	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	48.643314	-1.23315	10.0		23.5	0.5			2023-09-18	18	9	2023	7595433	7595433	HUMAN_OBSERVATION							CC_BY_4_0				native	2024-04-29T09:17:10.456Z		CONTINENT_DERIVED_FROM_COORDINATES
4536891512	5ea28eaa-7e0c-417c-b525-9c737d18823f	20230919_IAS09MARTIN_163552_30	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	48.6395	-1.161365	10.0		51.5	1.5			2023-09-19	19	9	2023	7595433	7595433	HUMAN_OBSERVATION							CC_BY_4_0				native	2024-04-29T09:17:09.877Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4536891511	5ea28eaa-7e0c-417c-b525-9c737d18823f	20230914_IAS13_IAS_104600	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			ABSENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	48.64095	-1.130015	10.0		79.0	1.0			2023-09-14	14	9	2023	7595433	7595433	HUMAN_OBSERVATION							CC_BY_4_0				native	2024-04-29T09:17:09.403Z		CONTINENT_DERIVED_FROM_COORDINATES
