gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3710275323	2a4fd70a-468d-4af6-8ff3-d81adefb79f6	20210916_BRESLE_SAT_MARAIS_140605_15	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	50.0157	1.5065	10.0		16.5	0.0			2021-09-16	16	9	2021	7595433	7595433	HUMAN_OBSERVATION							CC_BY_NC_4_0				native	2024-04-29T09:26:16.178Z		CONTINENT_DERIVED_FROM_COORDINATES
3710275322	2a4fd70a-468d-4af6-8ff3-d81adefb79f6	20210915_BRESLE_SAT_AMT_CONF_MARNONETTE_093004_11	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	49.93624	1.620532	10.0		44.8	0.0			2021-09-15	15	9	2021	7595433	7595433	HUMAN_OBSERVATION							CC_BY_NC_4_0				native	2024-04-29T09:26:16.160Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3710275321	2a4fd70a-468d-4af6-8ff3-d81adefb79f6	20210916_BRESLE_SAT_MARAIS_140325_13	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	50.0157	1.5065	10.0		16.5	0.0			2021-09-16	16	9	2021	7595433	7595433	HUMAN_OBSERVATION							CC_BY_NC_4_0				native	2024-04-29T09:26:16.047Z		CONTINENT_DERIVED_FROM_COORDINATES
3710275320	2a4fd70a-468d-4af6-8ff3-d81adefb79f6	20210917_BRESLE_SAT_KEIVAN_BRAS_RENAT_100012_26	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	50.02353	1.488591	10.0		12.6	0.0			2021-09-17	17	9	2021	7595433	7595433	HUMAN_OBSERVATION							CC_BY_NC_4_0				native	2024-04-29T09:26:16.025Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3710275319	2a4fd70a-468d-4af6-8ff3-d81adefb79f6	20210916_BRESLE_SAT_MOULIN_JEAN_JEAN_IAS_095500	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			ABSENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	49.99697	1.526738	10.0						2021-09-16	16	9	2021	7595433	7595433	HUMAN_OBSERVATION							CC_BY_NC_4_0				native	2024-04-29T09:26:15.992Z		CONTINENT_DERIVED_FROM_COORDINATES
3710275318	2a4fd70a-468d-4af6-8ff3-d81adefb79f6	20210917_BRESLE_SAT_KEIVAN_BRAS_RENAT_095749_23	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	50.02353	1.488591	10.0		12.6	0.0			2021-09-17	17	9	2021	7595433	7595433	HUMAN_OBSERVATION							CC_BY_NC_4_0				native	2024-04-29T09:26:15.905Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3710275317	2a4fd70a-468d-4af6-8ff3-d81adefb79f6	20210917_BRESLE_SAT_KEIVAN_BRAS_RENAT_095335_17	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	50.02353	1.488591	10.0		12.6	0.0			2021-09-17	17	9	2021	7595433	7595433	HUMAN_OBSERVATION							CC_BY_NC_4_0				native	2024-04-29T09:26:15.885Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3710275316	2a4fd70a-468d-4af6-8ff3-d81adefb79f6	20210916_BRESLE_SAT_MARAIS_140057_12	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	50.0157	1.5065	10.0		16.5	0.0			2021-09-16	16	9	2021	7595433	7595433	HUMAN_OBSERVATION							CC_BY_NC_4_0				native	2024-04-29T09:26:15.877Z		CONTINENT_DERIVED_FROM_COORDINATES
3710275315	2a4fd70a-468d-4af6-8ff3-d81adefb79f6	20210917_BRESLE_SAT_KEIVAN_BRAS_RENAT_100055_27	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	50.02353	1.488591	10.0		12.6	0.0			2021-09-17	17	9	2021	7595433	7595433	HUMAN_OBSERVATION							CC_BY_NC_4_0				native	2024-04-29T09:26:15.842Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3710275314	2a4fd70a-468d-4af6-8ff3-d81adefb79f6	20210917_BRESLE_SAT_KEIVAN_BRAS_RENAT_094721_13	Animalia	Chordata		Salmoniformes	Salmonidae	Salmo	Salmo salar		SPECIES	Salmo salar Linnaeus, 1758	Salmo salar		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f	50.02353	1.488591	10.0		12.6	0.0			2021-09-17	17	9	2021	7595433	7595433	HUMAN_OBSERVATION							CC_BY_NC_4_0				native	2024-04-29T09:26:15.789Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
